id,수신,송신,에러,시작 시간,동작 시간
MqttInNode,1554,1554,0,2023-12-18 00:27:29,00:00:00.0144
MqttInNode,1576,1576,0,2023-12-18 00:27:37,00:00:00.0009
MqttMessageProcessingNode,1576,169,0,2023-12-18 00:27:37,00:00:00.0042
RuleEngineNode,169,169,0,2023-12-18 00:27:37,00:00:00.0011
MqttMessageProcessingNode,1576,152,0,2023-12-18 00:27:37,00:00:00.0045
RuleEngineNode,152,152,0,2023-12-18 00:27:37,00:00:00.0001
MqttMessageGeneratorNode,169,138,0,2023-12-18 00:27:37,00:00:00.0016
MqttOutNode,138,138,0,2023-12-18 00:27:38,00:00:00.0002
MqttMessageGeneratorNode,152,135,0,2023-12-18 00:27:38,00:00:00.0000
MqttOutNode,135,135,0,2023-12-18 00:27:38,00:00:00.0001
MqttInNode,1239,1239,0,2023-12-18 00:27:41,00:00:00.0005
RuleEngineNode,156,156,0,2023-12-18 00:27:41,00:00:00.0001
MqttMessageProcessingNode,1239,156,0,2023-12-18 00:27:41,00:00:00.0005
MqttOutNode,140,140,0,2023-12-18 00:27:41,00:00:00.0001
MqttMessageGeneratorNode,156,140,0,2023-12-18 00:27:41,00:00:00.0000
MqttMessageProcessingNode,1239,153,0,2023-12-18 00:27:41,00:00:00.0006
MqttMessageGeneratorNode,153,137,0,2023-12-18 00:27:41,00:00:00.0000
RuleEngineNode,153,153,0,2023-12-18 00:27:41,00:00:00.0000
MqttMessageProcessingNode,1239,149,0,2023-12-18 00:27:41,00:00:00.0009
MqttMessageGeneratorNode,149,132,0,2023-12-18 00:27:41,00:00:00.0000
RuleEngineNode,149,149,0,2023-12-18 00:27:41,00:00:00.0000
MqttOutNode,137,137,0,2023-12-18 00:27:41,00:00:00.0000
MqttOutNode,132,132,0,2023-12-18 00:27:41,00:00:00.0001
MqttInNode,1548,1548,0,2023-12-18 00:27:46,00:00:00.0018
RuleEngineNode,156,156,0,2023-12-18 00:27:46,00:00:00.0001
MqttMessageGeneratorNode,156,140,0,2023-12-18 00:27:46,00:00:00.0000
MqttOutNode,140,140,0,2023-12-18 00:27:46,00:00:00.0000
MqttMessageProcessingNode,1548,156,0,2023-12-18 00:27:46,00:00:00.0022
RuleEngineNode,153,153,0,2023-12-18 00:27:46,00:00:00.0000
MqttMessageGeneratorNode,153,137,0,2023-12-18 00:27:46,00:00:00.0000
MqttMessageProcessingNode,1548,153,0,2023-12-18 00:27:46,00:00:00.0023
MqttOutNode,137,137,0,2023-12-18 00:27:46,00:00:00.0000
MqttInNode,1694,1694,0,2023-12-18 00:27:47,00:00:00.0008
MqttOutNode,140,140,0,2023-12-18 00:27:47,00:00:00.0000
MqttMessageGeneratorNode,170,140,0,2023-12-18 00:27:47,00:00:00.0001
RuleEngineNode,170,170,0,2023-12-18 00:27:47,00:00:00.0000
MqttMessageProcessingNode,1694,170,0,2023-12-18 00:27:47,00:00:00.0002
RuleEngineNode,153,153,0,2023-12-18 00:27:47,00:00:00.0001
MqttMessageGeneratorNode,153,137,0,2023-12-18 00:27:47,00:00:00.0000
MqttMessageProcessingNode,1694,153,0,2023-12-18 00:27:47,00:00:00.0012
MqttInNode,1383,1383,0,2023-12-18 00:27:47,00:00:00.0004
MqttOutNode,137,137,0,2023-12-18 00:27:47,00:00:00.0000
MqttMessageProcessingNode,1694,149,0,2023-12-18 00:27:47,00:00:00.0018
MqttOutNode,132,132,0,2023-12-18 00:27:47,00:00:00.0000
MqttMessageGeneratorNode,149,132,0,2023-12-18 00:27:47,00:00:00.0005
RuleEngineNode,149,149,0,2023-12-18 00:27:47,00:00:00.0001
MqttMessageProcessingNode,1383,170,0,2023-12-18 00:27:47,00:00:00.0001
MqttMessageGeneratorNode,170,140,0,2023-12-18 00:27:47,00:00:00.0000
MqttMessageProcessingNode,1383,153,0,2023-12-18 00:27:47,00:00:00.0003
MqttOutNode,140,140,0,2023-12-18 00:27:47,00:00:00.0000
RuleEngineNode,170,170,0,2023-12-18 00:27:47,00:00:00.0000
MqttMessageProcessingNode,1383,149,0,2023-12-18 00:27:47,00:00:00.0003
MqttMessageGeneratorNode,153,137,0,2023-12-18 00:27:47,00:00:00.0000
RuleEngineNode,153,153,0,2023-12-18 00:27:47,00:00:00.0000
RuleEngineNode,149,149,0,2023-12-18 00:27:47,00:00:00.0000
MqttMessageGeneratorNode,149,132,0,2023-12-18 00:27:47,00:00:00.0000
MqttOutNode,137,137,0,2023-12-18 00:27:47,00:00:00.0000
MqttOutNode,132,132,0,2023-12-18 00:27:47,00:00:00.0002
