id,수신,송신,에러,시작 시간,동작 시간
ruleEngineNode,170,170,0,2023-12-350 17:50:15,00:00:00.0025
mqttMessageGenerator,170,140,0,2023-12-350 17:50:15,00:00:00.0099
mqttin,1500,1500,0,2023-12-350 17:50:14,00:00:00.0166
mqttMessageProcessingNode,1500,170,0,2023-12-350 17:50:15,00:00:00.0141
modbusMapperKeywordToRegister,170,60,0,2023-12-350 17:50:15,00:00:00.0023
mqttMessageProcessingNode,1500,154,0,2023-12-350 17:50:15,00:00:00.0186
mqttMessageGenerator,154,137,0,2023-12-350 17:50:15,00:00:00.0001
modbusMapperKeywordToRegister,154,47,0,2023-12-350 17:50:15,00:00:00.0001
ruleEngineNode,154,154,0,2023-12-350 17:50:15,00:00:00.0001
mqttin,1477,1477,0,2023-12-350 17:50:15,00:00:00.0009
mqttin,1659,1659,0,2023-12-350 17:50:18,00:00:00.0007
mqttMessageGenerator,171,140,0,2023-12-350 17:50:18,00:00:00.0001
modbusMapperKeywordToRegister,171,61,0,2023-12-350 17:50:18,00:00:00.0000
ruleEngineNode,171,171,0,2023-12-350 17:50:18,00:00:00.0001
mqttMessageProcessingNode,1659,171,0,2023-12-350 17:50:18,00:00:00.0006
ruleEngineNode,154,154,0,2023-12-350 17:50:18,00:00:00.0001
mqttMessageGenerator,154,137,0,2023-12-350 17:50:18,00:00:00.0000
modbusMapperKeywordToRegister,154,47,0,2023-12-350 17:50:18,00:00:00.0000
mqttMessageProcessingNode,1659,154,0,2023-12-350 17:50:18,00:00:00.0008
ruleEngineNode,150,150,0,2023-12-350 17:50:18,00:00:00.0000
mqttMessageGenerator,150,132,0,2023-12-350 17:50:18,00:00:00.0000
modbusMapperKeywordToRegister,150,48,0,2023-12-350 17:50:18,00:00:00.0000
mqttMessageProcessingNode,1659,150,0,2023-12-350 17:50:18,00:00:00.0010
mqttin,1532,1532,0,2023-12-350 17:50:21,00:00:00.0014
mqttin,1534,1534,0,2023-12-350 17:50:22,00:00:00.0006
mqttMessageProcessingNode,1534,175,0,2023-12-350 17:50:22,00:00:00.0006
ruleEngineNode,175,175,0,2023-12-350 17:50:22,00:00:00.0000
mqttMessageProcessingNode,1534,158,0,2023-12-350 17:50:22,00:00:00.0007
ruleEngineNode,158,158,0,2023-12-350 17:50:22,00:00:00.0003
mqttMessageGenerator,175,144,0,2023-12-350 17:50:22,00:00:00.0004
modbusMapperKeywordToRegister,175,61,0,2023-12-350 17:50:22,00:00:00.0004
mqttMessageGenerator,158,141,0,2023-12-350 17:50:22,00:00:00.0005
modbusMapperKeywordToRegister,158,47,0,2023-12-350 17:50:22,00:00:00.0004
